,0
BTCUSDT,2017-08-17 04:00:28.322000
ETHUSDT,2017-08-17 04:00:29.884000
BNBUSDT,2017-11-06 03:54:23.590000
BCCUSDT,2017-11-11 08:28:51.074000
NEOUSDT,2017-11-20 03:42:55.114000
LTCUSDT,2017-12-13 03:32:34.874000
QTUMUSDT,2018-03-19 08:48:25.851000
ADAUSDT,2018-04-17 04:02:33.168000
XRPUSDT,2018-05-04 08:11:31.418000
EOSUSDT,2018-05-28 05:00:05.570000
TUSDUSDT,2018-05-31 09:32:48.750000
IOTAUSDT,2018-05-31 09:30:10.952000
XLMUSDT,2018-05-31 09:30:34.691000
ONTUSDT,2018-06-08 07:00:30.981000
TRXUSDT,2018-06-11 11:30:05.215000
ETCUSDT,2018-06-12 02:30:33.242000
ICXUSDT,2018-06-13 08:01:23.557000
VENUSDT,2018-06-22 08:00:45.206000
NULSUSDT,2018-07-23 04:02:01.914000
VETUSDT,2018-07-25 04:00:03.941000
PAXUSDT,2018-10-04 10:00:48.306000
BCHABCUSDT,2018-11-16 08:00:05.364000
BCHSVUSDT,2018-11-16 08:00:03.187000
USDCUSDT,2018-12-15 03:12:19.234000
LINKUSDT,2019-01-16 10:00:52.263000
WAVESUSDT,2019-01-18 10:00:15.893000
BTTUSDT,2019-01-31 10:00:01.467000
USDSUSDT,2019-02-14 10:00:20.399000
ONGUSDT,2019-02-16 10:04:21.957000
HOTUSDT,2019-02-18 10:00:01.950000
ZILUSDT,2019-02-19 11:04:41.833000
ZRXUSDT,2019-02-28 04:00:06.882000
FETUSDT,2019-02-28 10:00:00.034000
BATUSDT,2019-03-04 10:00:10.609000
XMRUSDT,2019-03-15 04:00:24.994000
ZECUSDT,2019-03-21 04:00:01.362000
IOSTUSDT,2019-03-22 04:08:36.675000
CELRUSDT,2019-03-25 04:00:00.147000
DASHUSDT,2019-03-28 04:00:09.538000
NANOUSDT,2019-04-03 04:00:03.316000
OMGUSDT,2019-04-03 04:00:03.569000
THETAUSDT,2019-04-10 04:00:02.213000
ENJUSDT,2019-04-18 04:00:02.420000
MITHUSDT,2019-04-19 10:00:01.290000
MATICUSDT,2019-04-26 15:00:00.149000
ATOMUSDT,2019-04-29 04:00:01.391000
TFUELUSDT,2019-05-24 10:00:00.655000
ONEUSDT,2019-06-01 04:00:00.157000
FTMUSDT,2019-06-11 04:00:00.313000
ALGOUSDT,2019-06-22 00:00:01.408000
USDSBUSDT,2019-06-24 10:21:28.082000
GTOUSDT,2019-07-01 11:00:02.331000
ERDUSDT,2019-07-04 08:00:00.106000
DOGEUSDT,2019-07-05 12:00:01.957000
DUSKUSDT,2019-07-22 10:00:04.554000
ANKRUSDT,2019-07-23 14:00:04.357000
WINUSDT,2019-08-01 10:00:00.321000
COSUSDT,2019-08-03 10:00:01.035000
NPXSUSDT,2019-08-13 11:00:02.125000
COCOSUSDT,2019-08-21 11:00:01.651000
MTLUSDT,2019-08-23 10:00:04.056000
TOMOUSDT,2019-08-24 13:00:04.045000
PERLUSDT,2019-08-26 12:00:00
DENTUSDT,2019-08-27 04:00:07.071000
MFTUSDT,2019-08-27 04:00:09.208000
KEYUSDT,2019-08-27 04:00:07.663000
STORMUSDT,2019-08-27 04:00:07.308000
DOCKUSDT,2019-08-27 04:00:07.418000
WANUSDT,2019-08-27 04:00:07.685000
FUNUSDT,2019-08-27 04:00:07.316000
CVCUSDT,2019-08-27 04:00:07.339000
CHZUSDT,2019-09-06 04:00:00
BANDUSDT,2019-09-18 12:00:00
BUSDUSDT,2019-09-20 08:00:05.071000
BEAMUSDT,2019-09-21 12:00:00
XTZUSDT,2019-09-24 11:00:00
RENUSDT,2019-09-25 12:00:10.518000
RVNUSDT,2019-09-25 12:00:12.771000
HCUSDT,2019-09-25 12:00:10.738000
HBARUSDT,2019-09-29 04:00:00
NKNUSDT,2019-10-11 14:00:01.224000
STXUSDT,2019-10-25 04:00:00
KAVAUSDT,2019-10-25 02:00:00
ARPAUSDT,2019-11-06 14:00:00
IOTXUSDT,2019-11-14 03:00:01.252000
RLCUSDT,2019-11-14 03:00:10.825000
MCOUSDT,2019-11-19 10:00:02.640000
CTXCUSDT,2019-11-22 14:00:00
BCHUSDT,2019-11-28 10:00:00
TROYUSDT,2019-12-05 02:00:00
VITEUSDT,2019-12-13 14:00:00
FTTUSDT,2019-12-20 03:00:00
EURUSDT,2020-01-03 08:00:00
OGNUSDT,2020-01-09 03:00:00
DREPUSDT,2020-01-16 14:00:00
BULLUSDT,2020-01-17 12:00:00
BEARUSDT,2020-01-17 12:00:00
ETHBULLUSDT,2020-01-17 12:00:00
ETHBEARUSDT,2020-01-17 12:00:00
TCTUSDT,2020-01-21 14:00:00
WRXUSDT,2020-02-05 02:00:00
BTSUSDT,2020-02-06 10:00:00
LSKUSDT,2020-02-06 10:00:00
BNTUSDT,2020-02-06 10:00:00
LTOUSDT,2020-02-07 14:00:00
EOSBULLUSDT,2020-02-12 08:00:00
EOSBEARUSDT,2020-02-12 08:00:00
XRPBULLUSDT,2020-02-12 08:00:00
XRPBEARUSDT,2020-02-12 08:00:00
STRATUSDT,2020-02-19 09:00:00
AIONUSDT,2020-02-19 09:00:00
MBLUSDT,2020-02-21 14:00:00
COTIUSDT,2020-02-26 14:00:00
BNBBULLUSDT,2020-03-11 07:00:00
BNBBEARUSDT,2020-03-11 07:00:00
STPTUSDT,2020-03-25 14:00:00
WTCUSDT,2020-04-07 13:00:00
DATAUSDT,2020-04-07 13:00:00
XZCUSDT,2020-04-07 13:00:00
SOLUSDT,2020-08-11 06:00:00
CTSIUSDT,2020-04-23 02:00:00
HIVEUSDT,2020-04-27 05:00:00
CHRUSDT,2020-05-07 14:00:00
GXSUSDT,2020-05-13 14:00:00
ARDRUSDT,2020-05-15 08:00:00
LENDUSDT,2020-05-15 08:00:00
MDTUSDT,2020-06-05 14:00:00
STMXUSDT,2020-06-11 03:00:00
KNCUSDT,2020-06-12 08:00:00
REPUSDT,2020-06-12 08:00:00
LRCUSDT,2020-06-12 08:00:00
PNTUSDT,2020-06-22 04:00:00
COMPUSDT,2020-06-25 06:00:00
BKRWUSDT,2020-07-06 05:00:00
SCUSDT,2020-07-06 05:00:00
ZENUSDT,2020-07-06 05:00:00
SNXUSDT,2020-07-09 12:00:00
VTHOUSDT,2020-07-17 09:00:00
DGBUSDT,2020-07-20 12:00:00
GBPUSDT,2020-07-20 12:00:00
SXPUSDT,2020-07-20 12:00:00
MKRUSDT,2020-07-23 14:00:00
DAIUSDT,2020-07-23 14:00:00
DCRUSDT,2020-07-30 05:00:00
STORJUSDT,2020-07-30 05:00:00
MANAUSDT,2020-08-06 10:00:00
AUDUSDT,2020-08-07 02:00:00
YFIUSDT,2020-08-10 12:00:00
BALUSDT,2020-08-11 06:00:00
BLZUSDT,2020-08-11 06:00:00
IRISUSDT,2020-08-11 06:00:00
KMDUSDT,2020-08-11 06:00:00
JSTUSDT,2020-08-11 06:00:00
SRMUSDT,2020-08-11 13:30:00
ANTUSDT,2020-08-13 02:30:00
CRVUSDT,2020-08-15 04:00:00
SANDUSDT,2020-08-14 13:00:00
OCEANUSDT,2020-08-19 08:00:00
NMRUSDT,2020-08-19 12:00:00
DOTUSDT,2020-08-18 23:00:00
LUNAUSDT,2020-08-21 10:00:00
RSRUSDT,2020-08-27 07:00:00
PAXGUSDT,2020-08-28 12:00:00
WNXMUSDT,2020-08-28 07:00:00
TRBUSDT,2020-08-29 07:00:00
BZRXUSDT,2020-08-31 07:00:00
SUSHIUSDT,2020-09-01 11:00:00
YFIIUSDT,2020-09-01 11:00:00
KSMUSDT,2020-09-04 11:00:00
EGLDUSDT,2020-09-03 03:00:00
DIAUSDT,2020-09-04 13:00:00
RUNEUSDT,2020-09-04 06:50:00
FIOUSDT,2020-09-04 06:50:00
UMAUSDT,2020-09-09 09:00:00
BELUSDT,2020-09-15 08:00:00
WINGUSDT,2020-09-16 02:00:00
UNIUSDT,2020-09-17 03:00:00
NBSUSDT,2020-09-21 10:00:00
OXTUSDT,2020-09-21 08:15:00
SUNUSDT,2020-09-21 14:00:00
AVAXUSDT,2020-09-22 06:30:00
HNTUSDT,2020-09-24 09:00:00
FLMUSDT,2020-09-28 07:00:00
ORNUSDT,2020-09-30 06:00:00
UTKUSDT,2020-10-02 06:00:00
XVSUSDT,2020-10-06 05:00:00
ALPHAUSDT,2020-10-10 05:00:00
AAVEUSDT,2020-10-15 03:00:00
NEARUSDT,2020-10-14 05:00:00
FILUSDT,2020-10-15 17:00:00
INJUSDT,2020-10-21 04:00:00
AUDIOUSDT,2020-10-23 19:00:00
CTKUSDT,2020-10-27 08:00:00
AKROUSDT,2020-11-02 07:00:00
AXSUSDT,2020-11-04 13:00:00
HARDUSDT,2020-11-06 06:00:00
DNTUSDT,2020-11-10 06:00:00
STRAXUSDT,2020-11-18 03:00:00
UNFIUSDT,2020-11-19 06:00:00
ROSEUSDT,2020-11-19 08:00:00
AVAUSDT,2020-11-24 13:00:00
XEMUSDT,2020-11-24 13:00:00
SKLUSDT,2020-12-01 01:00:00
SUSDUSDT,2020-12-04 11:00:00
GRTUSDT,2020-12-17 20:30:00
JUVUSDT,2020-12-21 06:00:00
PSGUSDT,2020-12-21 06:00:00
1INCHUSDT,2020-12-25 05:00:00
REEFUSDT,2020-12-29 06:00:00
OGUSDT,2020-12-30 06:00:00
ATMUSDT,2020-12-30 06:00:00
ASRUSDT,2020-12-30 06:00:00
CELOUSDT,2021-01-05 08:30:00
RIFUSDT,2021-01-07 13:00:00
BTCSTUSDT,2021-01-13 06:00:00
TRUUSDT,2021-01-19 07:00:00
CKBUSDT,2021-01-26 12:00:00
TWTUSDT,2021-01-27 08:00:00
FIROUSDT,2021-01-29 02:00:00
LITUSDT,2021-02-04 06:00:00
SFPUSDT,2021-02-08 13:00:00
DODOUSDT,2021-02-19 10:00:00
CAKEUSDT,2021-02-19 06:00:00
ACMUSDT,2021-02-24 11:00:00
BADGERUSDT,2021-03-02 08:00:00
FISUSDT,2021-03-03 08:00:00
OMUSDT,2021-03-08 09:00:00
PONDUSDT,2021-03-09 08:00:00
DEGOUSDT,2021-03-10 11:00:00
ALICEUSDT,2021-03-15 06:00:00
LINAUSDT,2021-03-18 12:00:00
PERPUSDT,2021-03-19 08:00:00
RAMPUSDT,2021-03-22 09:00:00
SUPERUSDT,2021-03-25 10:00:00
CFXUSDT,2021-03-29 11:00:00
EPSUSDT,2021-04-02 09:00:00
AUTOUSDT,2021-04-02 09:00:00
TKOUSDT,2021-04-07 13:00:00
PUNDIXUSDT,2021-04-09 04:00:00
TLMUSDT,2021-04-13 06:00:00
BTGUSDT,2021-04-16 07:00:00
MIRUSDT,2021-04-19 11:00:00
BARUSDT,2021-04-21 11:00:00
FORTHUSDT,2021-04-23 09:00:00
BAKEUSDT,2021-04-30 12:00:00
BURGERUSDT,2021-04-30 12:00:00
SLPUSDT,2021-04-30 12:00:00
SHIBUSDT,2021-05-10 11:00:00
ICPUSDT,2021-05-11 01:00:00
ARUSDT,2021-05-14 12:00:00
POLSUSDT,2021-05-19 07:00:00
MDXUSDT,2021-05-24 09:00:00
MASKUSDT,2021-05-25 06:00:00
LPTUSDT,2021-05-28 05:00:00
NUUSDT,2021-06-04 05:30:00
XVGUSDT,2021-06-06 10:00:00
ATAUSDT,2021-06-07 06:00:00
GTCUSDT,2021-06-10 10:00:00
TORNUSDT,2021-06-11 06:00:00
KEEPUSDT,2021-06-17 06:00:00
ERNUSDT,2021-06-22 06:00:00
KLAYUSDT,2021-06-24 08:00:00
PHAUSDT,2021-06-25 10:00:00
BONDUSDT,2021-07-05 06:00:00
MLNUSDT,2021-07-05 06:00:00
DEXEUSDT,2021-07-23 10:00:00
C98USDT,2021-07-23 12:00:00
CLVUSDT,2021-07-29 06:00:00
QNTUSDT,2021-07-29 06:00:00
FLOWUSDT,2021-07-30 13:00:00
TVKUSDT,2021-08-06 10:00:00
MINAUSDT,2021-08-10 06:00:00
RAYUSDT,2021-08-10 06:00:00
FARMUSDT,2021-08-11 08:00:00
ALPACAUSDT,2021-08-11 08:00:00
QUICKUSDT,2021-08-13 12:00:00
MBOXUSDT,2021-08-19 08:00:00
FORUSDT,2021-08-20 10:00:00
REQUSDT,2021-08-20 10:00:00
GHSTUSDT,2021-08-20 10:00:00
WAXPUSDT,2021-08-23 06:30:00
TRIBEUSDT,2021-08-24 06:00:00
GNOUSDT,2021-08-30 06:00:00
XECUSDT,2021-09-03 10:00:00
ELFUSDT,2021-09-08 08:00:00
DYDXUSDT,2021-09-09 02:00:00
POLYUSDT,2021-09-09 08:00:00
IDEXUSDT,2021-09-09 08:00:00
VIDTUSDT,2021-09-09 08:00:00
USDPUSDT,2021-09-10 04:00:00
GALAUSDT,2021-09-13 06:00:00
ILVUSDT,2021-09-22 06:00:00
YGGUSDT,2021-09-24 06:00:00
SYSUSDT,2021-09-24 10:00:00
DFUSDT,2021-09-24 10:00:00
FIDAUSDT,2021-09-30 12:00:00
FRONTUSDT,2021-10-04 10:00:00
CVPUSDT,2021-10-04 10:00:00
AGLDUSDT,2021-10-05 07:00:00
RADUSDT,2021-10-07 07:00:00
BETAUSDT,2021-10-08 12:00:00
RAREUSDT,2021-10-11 06:00:00
LAZIOUSDT,2021-10-21 12:00:00
CHESSUSDT,2021-10-22 06:00:00
ADXUSDT,2021-10-29 10:00:00
AUCTIONUSDT,2021-10-29 10:00:00
DARUSDT,2021-11-04 08:00:00
BNXUSDT,2021-11-04 11:00:00
RGTUSDT,2021-11-05 06:00:00
MOVRUSDT,2021-11-08 06:00:00
CITYUSDT,2021-11-10 08:00:00
ENSUSDT,2021-11-10 07:00:00
KP3RUSDT,2021-11-12 10:00:00
QIUSDT,2021-11-15 08:00:00
PORTOUSDT,2021-11-16 12:00:00
POWRUSDT,2021-11-17 06:00:00
VGXUSDT,2021-11-22 07:00:00
JASMYUSDT,2021-11-22 12:00:00
AMPUSDT,2021-11-23 06:00:00
PLAUSDT,2021-11-23 06:00:00
PYRUSDT,2021-11-26 08:00:00
RNDRUSDT,2021-11-27 10:00:00
ALCXUSDT,2021-11-30 06:00:00
SANTOSUSDT,2021-12-01 11:00:00
MCUSDT,2021-12-02 08:00:00
ANYUSDT,2021-12-04 06:00:00
BICOUSDT,2021-12-09 06:00:00
FLUXUSDT,2021-12-10 06:00:00
FXSUSDT,2021-12-10 09:00:00
VOXELUSDT,2021-12-14 12:00:00
HIGHUSDT,2021-12-17 07:00:00
CVXUSDT,2021-12-23 14:00:00
PEOPLEUSDT,2021-12-23 06:00:00
OOKIUSDT,2021-12-24 04:00:00
SPELLUSDT,2021-12-24 08:00:00
USTUSDT,2021-12-24 08:00:00
JOEUSDT,2021-12-28 11:00:00
ACHUSDT,2022-01-10 10:00:00
IMXUSDT,2022-01-10 10:00:00
GLMRUSDT,2022-01-11 16:00:00
LOKAUSDT,2022-01-20 12:00:00
SCRTUSDT,2022-01-21 12:00:00
API3USDT,2022-01-21 10:30:00
BTTCUSDT,2022-01-25 04:00:00
ACAUSDT,2022-01-25 12:00:00
ANCUSDT,2022-01-25 11:00:00
XNOUSDT,2022-01-28 08:00:00
WOOUSDT,2022-02-08 06:30:00
ALPINEUSDT,2022-02-21 12:00:00
TUSDT,2022-02-25 04:00:00
ASTRUSDT,2022-02-28 11:30:00
GMTUSDT,2022-03-09 12:00:00
KDAUSDT,2022-03-11 11:30:00
APEUSDT,2022-03-17 14:30:00
BSWUSDT,2022-03-21 13:30:00
BIFIUSDT,2022-04-01 09:00:00
MULTIUSDT,2022-04-06 04:00:00
STEEMUSDT,2022-04-22 10:00:00
MOBUSDT,2022-04-29 10:00:00
NEXOUSDT,2022-04-29 14:00:00
REIUSDT,2022-05-04 04:00:00
GALUSDT,2022-05-05 12:00:00
LDOUSDT,2022-05-09 11:00:00
EPXUSDT,2022-05-23 04:00:00
OPUSDT,2022-06-01 08:00:00
LEVERUSDT,2022-07-13 04:00:00
STGUSDT,2022-08-19 09:00:00
LUNCUSDT,2022-09-09 08:00:00
GMXUSDT,2022-10-05 10:00:00
NEBLUSDT,2022-10-14 08:00:00
POLYXUSDT,2022-10-17 08:00:00
APTUSDT,2022-10-19 01:00:00
OSMOUSDT,2022-10-28 10:00:00
HFTUSDT,2022-11-07 13:00:00
PHBUSDT,2022-11-18 09:00:00
HOOKUSDT,2022-12-01 14:30:00
MAGICUSDT,2022-12-12 08:00:00
HIFIUSDT,2023-01-12 08:00:00
RPLUSDT,2023-01-18 08:00:00
PROSUSDT,2023-01-27 08:00:00
AGIXUSDT,2023-02-17 08:00:00
GNSUSDT,2023-02-17 11:30:00
SYNUSDT,2023-02-22 10:30:00
VIBUSDT,2023-02-24 08:00:00
SSVUSDT,2023-02-24 08:00:00
LQTYUSDT,2023-02-28 11:00:00
AMBUSDT,2023-03-03 08:00:00
BETHUSDT,2023-03-03 08:00:00
USTCUSDT,2023-03-10 08:00:00
GASUSDT,2023-03-17 08:00:00
GLMUSDT,2023-03-17 08:00:00
PROMUSDT,2023-03-17 08:00:00
QKCUSDT,2023-03-17 08:00:00
UFTUSDT,2023-03-17 08:00:00
IDUSDT,2023-03-22 12:00:00
ARBUSDT,2023-03-23 15:00:00
LOOMUSDT,2023-03-24 08:00:00
OAXUSDT,2023-03-24 08:00:00
RDNTUSDT,2023-03-30 07:30:00
WBTCUSDT,2023-04-28 08:00:00
EDUUSDT,2023-04-28 12:00:00
SUIUSDT,2023-05-03 12:00:00
AERGOUSDT,2023-05-05 08:00:00
PEPEUSDT,2023-05-05 18:00:00
FLOKIUSDT,2023-05-05 18:00:00
ASTUSDT,2023-05-19 08:00:00
SNTUSDT,2023-05-19 08:00:00
COMBOUSDT,2023-06-02 08:00:00
MAVUSDT,2023-06-28 08:00:00
PENDLEUSDT,2023-07-03 10:00:00
ARKMUSDT,2023-07-18 12:00:00
WBETHUSDT,2023-07-19 06:00:00
WLDUSDT,2023-07-24 09:00:00
FDUSDUSDT,2023-07-26 08:00:00
SEIUSDT,2023-08-15 12:00:00
CYBERUSDT,2023-08-15 12:00:00
ARKUSDT,2023-09-22 08:00:00
CREAMUSDT,2023-09-22 08:00:00
GFTUSDT,2023-09-22 08:00:00
IQUSDT,2023-09-22 08:00:00
NTRNUSDT,2023-10-10 12:00:00
TIAUSDT,2023-10-31 16:00:00.006000
MEMEUSDT,2023-11-03 08:00:00
ORDIUSDT,2023-11-07 12:00:00
BEAMXUSDT,2023-11-14 08:00:00
PIVXUSDT,2023-11-16 08:00:00
VICUSDT,2023-11-24 08:00:00
BLURUSDT,2023-11-24 09:00:00
VANRYUSDT,2023-12-01 08:00:00
AEURUSDT,2023-12-04 10:00:00
JTOUSDT,2023-12-07 16:30:00
1000SATSUSDT,2023-12-12 12:00:00
BONKUSDT,2023-12-15 08:00:00
ACEUSDT,2023-12-18 06:00:00
NFPUSDT,2023-12-27 10:00:00
AIUSDT,2024-01-04 10:00:00
XAIUSDT,2024-01-09 10:00:00
MANTAUSDT,2024-01-18 10:00:00
ALTUSDT,2024-01-25 10:00:00
JUPUSDT,2024-01-31 16:00:00
PYTHUSDT,2024-02-02 12:00:00
RONINUSDT,2024-02-05 13:30:00
DYMUSDT,2024-02-06 17:00:00
PIXELUSDT,2024-02-19 10:00:00
STRKUSDT,2024-02-20 13:00:00
PORTALUSDT,2024-02-29 10:00:00
PDAUSDT,2024-03-01 08:00:00
AXLUSDT,2024-03-01 11:30:00
WIFUSDT,2024-03-05 14:00:00
METISUSDT,2024-03-11 12:00:00
